p,df,pattern,eps,min_var,max_var,q95_profile,q95_chi,q95_gap_chi_minus_profile,profile_tail_at_chi_q95,chi_tail_at_profile_q95,tail_gap_at_chi_q95,trace,trace_over_df,lambda_min,lambda_max,lambda_sd,imag_max
6,14,spike_lo,0.5,0.5,1.1,20.341589926618603,23.68479130484058,3.343201378221977,0.023104990368929972,0.119734466008039,-0.02689500963107003,10.100280454692564,0.7214486039066117,0.21475312363007737,1.7995240938795898,0.708173338817994,5.668199152561056e-17
4,5,alternating,0.3,0.7,1.3,9.171687201308238,11.070497693516351,1.8988104922081135,0.0242374986372328,0.1024089921509748,-0.025762501362767202,3.7879808115555846,0.7575961623111169,0.1457343436842142,1.5512608590195474,0.4506208971454715,0.0
4,5,half,0.3,0.7,1.3,9.171687201308238,11.070497693516351,1.8988104922081135,0.0242374986372328,0.1024089921509748,-0.025762501362767202,3.787980811555588,0.7575961623111176,0.14573434368421423,1.5512608590195474,0.4506208971454714,0.0
4,5,spike_hi,0.85,0.7166666666666667,1.85,9.165573539003518,11.070497693516351,1.904924154512834,0.024369462559850417,0.10263945675344817,-0.025630537440149585,3.6761702862459336,0.7352340572491867,0.24197517162600599,1.3240530687825927,0.4932648910747067,7.530186657813472e-20
6,14,alternating,0.3,0.7,1.3,20.97990826492596,23.68479130484058,2.7048830399146198,0.0257512865369492,0.10214848149360299,-0.024248713463050804,11.216799124752024,0.8011999374822875,0.08088544757804784,1.9191145545526818,0.5664772089088489,0.0
6,14,half,0.3,0.7,1.3,20.97990826492601,23.68479130484058,2.70488303991457,0.025751286536949407,0.10214848149360148,-0.024248713463050596,11.216799124752036,0.8011999374822883,0.08088544757804789,1.9191145545526818,0.5664772089088486,2.144985151746626e-17
4,5,spike_hi,0.7,0.7666666666666667,1.7,9.560144158112458,11.070497693516351,1.510353535403894,0.02842609180950293,0.08870197659209554,-0.021573908190497072,3.933246714032069,0.7866493428064139,0.3171155108240498,1.3330659074620428,0.4608058118872715,1.4158011880326343e-19
5,9,spike_hi,0.85,0.7875,1.85,15.209704678328208,16.91897760462045,1.7092729262922433,0.029299650799196525,0.08533447275906439,-0.020700349200803478,7.492745866365493,0.8325273184850548,0.25911695982847566,1.2475561870923404,0.46828369284242705,3.980769315966219e-17
5,9,alternating,0.3,0.7,1.2,15.120604199612746,16.91897760462045,1.7983734050077054,0.02950060685333705,0.08767601240319188,-0.020499393146662954,7.368384454652956,0.8187093838503284,0.20095124890198146,1.9499778179402942,0.5079494715792507,0.0
6,14,spike_hi,0.85,0.83,1.85,21.928895134456035,23.68479130484058,1.7558961703845455,0.0310564644541833,0.08008723709595575,-0.018943535545816702,12.303429445068632,0.8788163889334737,0.2678513410651381,1.199279305967705,0.43187720774952376,0.0
