"rep","fit_ok","flip_ok","fmg_ok","fit_error","flip_error","fmg_error","draw_seconds","fit_seconds","flip_seconds","fmg_seconds","total_seconds","flip_setup_seconds","flip_score_seconds","standardization_setup_seconds","flip_standardization_seconds","standardization_available","empirical_eigen_min","empirical_eigen_mean","empirical_eigen_cv","empirical_eigen_ratio","empirical_identity_distance","rls_statistic","flip_rls_abs_difference","p_flip_effective","p_flip_standardized","p_flip_standardized_chisq","p_gof_std_ml","p_gof_sb_ml","p_gof_mv_ml","p_gof_ss_ml","p_gof_peba4_ml","p_gof_all_ml","p_gof_std_rls","p_gof_sb_rls","p_gof_mv_rls","p_gof_ss_rls","p_gof_peba4_rls","p_gof_all_rls","p","n","distribution","truth","df","n_over_df","rho","cell_id"
68,TRUE,TRUE,TRUE,"","","",0,0.00099999999999989,0.00200000000000022,0.00199999999999978,0.00599999999999978,0,0.00200000000000022,0,0,TRUE,0.630826537248585,0.964441906213219,0.262015609508738,2.03090894881358,0.228800652433821,19.5310539260285,5.47117906535277e-13,0.005,0.005,0.00290743497637847,0.00202975746079824,0.00138084693514811,0.00171662899370324,0.00162533695994457,0.00150262480603654,0.00194902831712574,0.00152991557392137,0.00102489011461707,0.00129122078420139,0.00121658132208906,0.001123930223824,0.0014901844740488,5,400,"normal","power",5,80,0.25,11
69,TRUE,TRUE,TRUE,"","","",0,0.00099999999999989,0.00200000000000022,0.00499999999999989,0.0089999999999999,0,0.00200000000000022,0,0,TRUE,0.67533355174562,0.991781388914966,0.362164115895882,2.34379285475784,0.321372289306786,30.2480373170702,6.60449472889013e-12,0.005,0.005,0.000470248521927968,3.16009554823691e-05,2.32866012075777e-05,4.65290573449008e-05,3.75668782523158e-05,3.14152433156133e-05,0.00010161634130011,1.31798393338834e-05,9.49164030246953e-06,2.03780083071726e-05,1.59825223582374e-05,1.34401683331794e-05,5.14787158109124e-05,5,400,"normal","power",5,80,0.25,11
70,TRUE,TRUE,TRUE,"","","",0,0.00100000000000033,0.00199999999999978,0.00300000000000011,0.00700000000000012,0,0.00199999999999978,0,0,TRUE,0.753636848232191,1.01994604947577,0.172383868005527,1.55399359168261,0.15852007571833,7.14219726072911,3.28626015289046e-14,0.225,0.2,0.218177660138608,0.223205281758736,0.231769194783563,0.232894381935489,0.233461620165911,0.231753649377661,0.231770868721854,0.210277912339486,0.21863054242341,0.219874571383453,0.220393131239326,0.218649841670326,0.218789360689734,5,400,"normal","power",5,80,0.25,11
71,TRUE,TRUE,TRUE,"","","",0,0.00100000000000033,0.00299999999999967,0.00200000000000022,0.00700000000000012,0.00099999999999989,0.00199999999999978,0,0,TRUE,0.648074089232802,0.988431451710495,0.330743480749452,2.28028595264044,0.292632442838344,26.8414000200351,2.27373675443232e-12,0.005,0.005,0.00234341025316356,0.000142264530297836,0.000107018485229042,0.000171860132766008,0.000149580996854626,0.000135921143733757,0.000263779836740796,6.12454106110749e-05,4.49791197004882e-05,7.6461178810789e-05,6.50700868290889e-05,5.97289870138544e-05,0.000129332658563628,5,400,"normal","power",5,80,0.25,11
72,TRUE,TRUE,TRUE,"","","",0,0.00099999999999989,0.00100000000000033,0.00199999999999978,0.004,0,0.00100000000000033,0,0,TRUE,0.695618558648227,0.966693485449932,0.262517202435375,1.91796875809943,0.229412693941009,20.7601818058974,6.86739554112137e-12,0.005,0.005,0.00123655323136093,0.00101119134388724,0.000673054694362363,0.000865989630446527,0.00080976057580928,0.000751127434390235,0.00105116983808827,0.000899062194043954,0.000594774609560582,0.000769593273866258,0.000718101908133235,0.000666252663610806,0.000942468156045387,5,400,"normal","power",5,80,0.25,11
73,TRUE,TRUE,TRUE,"","","",0,0.00099999999999989,0.00199999999999978,0.00300000000000011,0.00599999999999978,0,0.00099999999999989,0,0,TRUE,0.795027299929043,1.01326930188345,0.174680165347634,1.53760500434716,0.158866994392961,18.794530071124,1.74082970261225e-13,0.005,0.005,0.00382414591687312,0.00315747993160635,0.00325108313830197,0.00353107640476031,0.00346384282085459,0.00335598529824215,0.00369876742789023,0.00209905745738527,0.00216521476902274,0.00237113480090222,0.00231914422318828,0.00224606859557767,0.00251120330006915,5,400,"normal","power",5,80,0.25,11
74,TRUE,TRUE,TRUE,"","","",0,0.00099999999999989,0.00300000000000011,0.00199999999999978,0.00800000000000001,0.00099999999999989,0.00200000000000022,0,0,TRUE,0.707039720487834,1.06275723707779,0.275641334238594,2.07909987539322,0.269424317074836,12.2908767781075,3.5527136788005e-15,0.02,0.035,0.0974022201809615,0.0353204104502147,0.045382367708414,0.0489294811182198,0.0486040889716121,0.0461611171007426,0.0488639342739136,0.031012313802353,0.040187917301723,0.0435568575274512,0.0432067564431471,0.0409518837249114,0.0436046112592808,5,400,"normal","power",5,80,0.25,11
75,TRUE,TRUE,TRUE,"","","",0,0.00099999999999989,0.00200000000000022,0.00299999999999967,0.00800000000000001,0,0.00200000000000022,0,0,TRUE,0.584436768221381,1.04847668910395,0.355918140319045,2.51543468182989,0.337277018245177,30.0646121008663,2.48689957516035e-13,0.005,0.005,0.000260804866990734,2.62790716421643e-05,3.99469023614313e-05,7.7524700420048e-05,6.34206811515753e-05,5.46698366018576e-05,0.000119513289725322,1.43229155186582e-05,2.22469955767847e-05,4.5280797647983e-05,3.63457945045776e-05,3.14780664994785e-05,7.34680286550542e-05,5,400,"normal","power",5,80,0.25,11
76,TRUE,TRUE,TRUE,"","","",0,0.00100000000000033,0.00299999999999967,0.00200000000000022,0.0089999999999999,0.00099999999999989,0.00099999999999989,0,0,TRUE,0.581953429157341,1.06386155876666,0.419367031959996,2.89454292290979,0.404125055468661,31.0305764630138,9.30810983845731e-13,0.005,0.005,0.00104037289662914,2.29214999585124e-05,4.19023782423022e-05,0.000100217001769763,7.72965430149721e-05,6.48304744780404e-05,0.000187710793411088,9.23793071494559e-06,1.76815057069331e-05,4.64052936331019e-05,3.45020374389769e-05,2.93165249425112e-05,9.76010734695476e-05,5,400,"normal","power",5,80,0.25,11
77,TRUE,TRUE,TRUE,"","","",0,0.00100000000000033,0.00299999999999967,0.00200000000000022,0.00700000000000012,0.00099999999999989,0.00099999999999989,0,0,TRUE,0.555151086565699,1.11312245251255,0.41159866276586,2.92947291252877,0.425117568818237,35.5812200973093,3.04822833641083e-12,0.005,0.005,0.000269423144916656,3.28595645545539e-06,1.23092587573349e-05,3.25658650178091e-05,2.40552941518201e-05,2.15152364630882e-05,6.12193524718811e-05,1.15176752303872e-06,4.76308936808529e-06,1.39248753251219e-05,9.87946612195993e-06,9.05145903301459e-06,2.89970304399972e-05,5,400,"normal","power",5,80,0.25,11
78,TRUE,TRUE,TRUE,"","","",0,0,0.00200000000000022,0.00099999999999989,0.004,0.00099999999999989,0.00100000000000033,0,0,TRUE,0.830824792025268,1.07589591523315,0.244435225223649,1.81054773197547,0.247163631882841,19.8460970197177,4.40536496171262e-13,0.005,0.015,0.0118819935293441,0.00180129731284149,0.00298927522325734,0.00347678951859521,0.00335684604833469,0.00313741838666588,0.00381186799222777,0.00133561415591382,0.0022639177113485,0.00265984188685395,0.00255888411002864,0.00238799396345515,0.00296056480230951,5,400,"normal","power",5,80,0.25,11
79,TRUE,TRUE,TRUE,"","","",0,0.00200000000000022,0.00199999999999978,0.00200000000000022,0.00600000000000023,0.00099999999999989,0.00099999999999989,0,0,TRUE,0.734502981458473,0.946496880551219,0.186818321838891,1.65392738397029,0.16696008748206,17.5750938646087,1.99307237380708e-12,0.005,0.01,0.0112135157292361,0.00582058608499257,0.00368001989500793,0.00398721627971273,0.00391469285363389,0.00377814486688698,0.00416942488140433,0.00352889394863898,0.00214626101136863,0.00235094986287189,0.00229921762298911,0.00221574328344464,0.00249636701150384,5,400,"normal","power",5,80,0.25,11
